stDate,teamAbbr,rank,rankOrd,gameWon,gameLost,stk,stkType,stkTot,gameBack,ptsFor,ptsAgnst,homeWin,homeLoss,awayWin,awayLoss,confWin,confLoss,lastFive,lastTen,gamePlay,ptsScore,ptsAllow,ptsDiff,opptGmPlay,opptGmWon,opptOpptGmPlay,opptOpptGmWon,sos,rel%Indx,mov,srs,pw%,pyth%13.91,wpyth13.91,lpyth13.91,pyth%16.5,wpyth16.5,lpyth16.5
2016-10-25,ATL,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,BKN,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,BOS,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,CHA,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,CHI,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,CLE,1,1st,1,0,W1,win,1,0.0,117,88,1,0,0,0,1,0,1,1,1,117.0,88.0,29.0,0,0,0,0,0.0,0.0,29.0,29.0,1.4549,0.9813,80.4666,1.5334,0.991,81.262,0.738
2016-10-25,DAL,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,DEN,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,DET,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,GS,14,14th,0,1,L1,loss,1,1.0,100,129,0,1,0,0,0,1,0,0,1,100.0,129.0,-29.0,0,0,0,0,0.0,0.0,-29.0,-29.0,-0.4549,0.0281,2.3042,79.6958,0.0148,1.2136,80.7864
2016-10-25,HOU,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,IND,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,LAC,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,LAL,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,MEM,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,MIA,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,MIL,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,MIN,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,NO,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,NY,15,15th,0,1,L1,loss,1,1.0,88,117,0,0,0,1,0,1,0,0,1,88.0,117.0,-29.0,0,0,0,0,0.0,0.0,-29.0,-29.0,-0.4549,0.0187,1.5334,80.4666,0.009,0.738,81.262
2016-10-25,OKC,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,ORL,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,PHI,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,PHO,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,POR,1,1st,1,0,W1,win,1,0.0,113,104,1,0,0,0,1,0,1,1,1,113.0,104.0,9.0,0,0,0,0,0.0,0.0,9.0,9.0,0.7963,0.7603,62.3446,19.6554,0.7973,65.3786,16.6214
2016-10-25,SA,1,1st,1,0,W1,win,1,0.0,129,100,0,0,1,0,1,0,1,1,1,129.0,100.0,29.0,0,0,0,0,0.0,0.0,29.0,29.0,1.4549,0.9719,79.6958,2.3042,0.9852,80.7864,1.2136
2016-10-25,SAC,3,3rd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,TOR,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-25,UTA,14,14th,0,1,L1,loss,1,1.0,104,113,0,0,0,1,0,1,0,0,1,104.0,113.0,-9.0,0,0,0,0,0.0,0.0,-9.0,-9.0,0.2037,0.2397,19.6554,62.3446,0.2027,16.6214,65.3786
2016-10-25,WAS,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-26,ATL,7,7th,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2016-10-26,BKN,10,10th,0,1,L1,loss,1,1.0,117,122,0,0,0,1,0,1,0,0,1,117.0,122.0,-5.0,0,0,0,0,0.0,0.0,-5.0,-5.0,0.3354,0.3585,29.397,52.603,0.3339,27.3798,54.6202
